date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:58	135598/135598	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:48:56%20GMT	https://www.primefaces.org/poseidon/	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/index.html	(from )
00:48:58	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2026%20May%202021%2005:48:56%20GMT	https://www.primefaces.org/robots.txt		(from )
00:49:01	8927/8927	---MCZ	200	added ('OK')	text/css	etag:W/%228757-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.css	(from https://www.primefaces.org/poseidon/)
00:49:01	196518/196518	---MCZ	200	added ('OK')	text/css	etag:W/%22196518-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/theme.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces-poseidon-denim-light&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/theme.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203b235.css	(from https://www.primefaces.org/poseidon/)
00:49:04	31332/31332	---MCZ	200	added ('OK')	text/css	etag:W/%2231128-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/fa/font-awesome.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/fa/font-awesome.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.css	(from https://www.primefaces.org/poseidon/)
00:49:04	104841/104841	---MCZ	200	added ('OK')	text/css	etag:W/%22104535-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/components.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/components.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.css	(from https://www.primefaces.org/poseidon/)
00:49:04	55764/55764	---M-Z	200	added ('OK')	application/javascript	etag:W/%2255764-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/core.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/core.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.node0	(from https://www.primefaces.org/poseidon/)
00:49:05	89475/89475	---M-Z	200	added ('OK')	application/javascript	etag:W/%2289475-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.node0	(from https://www.primefaces.org/poseidon/)
00:49:06	991/991	---M-Z	200	added ('OK')	text/css	etag:W/%22991-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/inputswitch/inputswitch.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/inputswitch/inputswitch.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.css	(from https://www.primefaces.org/poseidon/)
00:49:06	477518/477518	---MCZ	200	added ('OK')	application/javascript	etag:W/%22477518-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/components.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/components.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.node0	(from https://www.primefaces.org/poseidon/)
